game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,result,overtime,stadium
2025_08_SF_HOU,2025,REG,8,2025-10-26,Sunday,13:00,SF,HOU,15.0,26.0,11.0,0.0,NRG Stadium
2025_08_CLE_NE,2025,REG,8,2025-10-26,Sunday,13:00,CLE,NE,13.0,32.0,19.0,0.0,Gillette Stadium
2025_08_NYG_PHI,2025,REG,8,2025-10-26,Sunday,13:00,NYG,PHI,20.0,38.0,18.0,0.0,Lincoln Financial Field
2025_08_TB_NO,2025,REG,8,2025-10-26,Sunday,16:05,TB,NO,23.0,3.0,-20.0,0.0,Mercedes-Benz Superdome
2025_08_DAL_DEN,2025,REG,8,2025-10-26,Sunday,16:25,DAL,DEN,24.0,44.0,20.0,0.0,Empower Field at Mile High
2025_08_TEN_IND,2025,REG,8,2025-10-26,Sunday,16:25,TEN,IND,14.0,38.0,24.0,0.0,Lucas Oil Stadium
2025_08_GB_PIT,2025,REG,8,2025-10-26,Sunday,20:20,GB,PIT,35.0,25.0,-10.0,0.0,Acrisure Stadium
2025_08_WAS_KC,2025,REG,8,2025-10-27,Monday,20:15,WAS,KC,7.0,28.0,21.0,0.0,GEHA Field at Arrowhead Stadium
2025_09_BAL_MIA,2025,REG,9,2025-10-30,Thursday,20:15,BAL,MIA,28.0,6.0,-22.0,0.0,Hard Rock Stadium
2025_09_CHI_CIN,2025,REG,9,2025-11-02,Sunday,13:00,CHI,CIN,47.0,42.0,-5.0,0.0,Paycor Stadium
2025_09_MIN_DET,2025,REG,9,2025-11-02,Sunday,13:00,MIN,DET,27.0,24.0,-3.0,0.0,Ford Field
2025_09_CAR_GB,2025,REG,9,2025-11-02,Sunday,13:00,CAR,GB,16.0,13.0,-3.0,0.0,Lambeau Field
2025_09_DEN_HOU,2025,REG,9,2025-11-02,Sunday,13:00,DEN,HOU,18.0,15.0,-3.0,0.0,NRG Stadium
2025_09_ATL_NE,2025,REG,9,2025-11-02,Sunday,13:00,ATL,NE,23.0,24.0,1.0,0.0,Gillette Stadium
2025_09_SF_NYG,2025,REG,9,2025-11-02,Sunday,13:00,SF,NYG,34.0,24.0,-10.0,0.0,MetLife Stadium
2025_09_IND_PIT,2025,REG,9,2025-11-02,Sunday,13:00,IND,PIT,20.0,27.0,7.0,0.0,Acrisure Stadium
2025_09_LAC_TEN,2025,REG,9,2025-11-02,Sunday,13:00,LAC,TEN,27.0,20.0,-7.0,0.0,Nissan Stadium
2025_09_NO_LA,2025,REG,9,2025-11-02,Sunday,16:05,NO,LA,10.0,34.0,24.0,0.0,SoFi Stadium
2025_09_JAX_LV,2025,REG,9,2025-11-02,Sunday,16:05,JAX,LV,30.0,29.0,-1.0,1.0,Allegiant Stadium
2025_09_KC_BUF,2025,REG,9,2025-11-02,Sunday,16:25,KC,BUF,21.0,28.0,7.0,0.0,New Era Field
2025_09_SEA_WAS,2025,REG,9,2025-11-02,Sunday,20:20,SEA,WAS,38.0,14.0,-24.0,0.0,FedExField
2025_09_ARI_DAL,2025,REG,9,2025-11-03,Monday,20:15,ARI,DAL,27.0,17.0,-10.0,0.0,AT&T Stadium
2025_10_LV_DEN,2025,REG,10,2025-11-06,Thursday,20:15,LV,DEN,,,,,Empower Field at Mile High
2025_10_ATL_IND,2025,REG,10,2025-11-09,Sunday,09:30,ATL,IND,,,,,Lucas Oil Stadium
2025_10_NO_CAR,2025,REG,10,2025-11-09,Sunday,13:00,NO,CAR,,,,,Bank of America Stadium
2025_10_NYG_CHI,2025,REG,10,2025-11-09,Sunday,13:00,NYG,CHI,,,,,Soldier Field
2025_10_JAX_HOU,2025,REG,10,2025-11-09,Sunday,13:00,JAX,HOU,,,,,NRG Stadium
2025_10_BUF_MIA,2025,REG,10,2025-11-09,Sunday,13:00,BUF,MIA,,,,,Hard Rock Stadium
2025_10_BAL_MIN,2025,REG,10,2025-11-09,Sunday,13:00,BAL,MIN,,,,,U.S. Bank Stadium
2025_10_CLE_NYJ,2025,REG,10,2025-11-09,Sunday,13:00,CLE,NYJ,,,,,MetLife Stadium
2025_10_NE_TB,2025,REG,10,2025-11-09,Sunday,13:00,NE,TB,,,,,Raymond James Stadium
2025_10_ARI_SEA,2025,REG,10,2025-11-09,Sunday,16:05,ARI,SEA,,,,,Lumen Field
2025_10_LA_SF,2025,REG,10,2025-11-09,Sunday,16:25,LA,SF,,,,,Levi's Stadium
2025_10_DET_WAS,2025,REG,10,2025-11-09,Sunday,16:25,DET,WAS,,,,,FedExField
2025_10_PIT_LAC,2025,REG,10,2025-11-09,Sunday,20:20,PIT,LAC,,,,,SoFi Stadium
2025_10_PHI_GB,2025,REG,10,2025-11-10,Monday,20:15,PHI,GB,,,,,Lambeau Field
2025_11_NYJ_NE,2025,REG,11,2025-11-13,Thursday,20:15,NYJ,NE,,,,,Gillette Stadium
2025_11_WAS_MIA,2025,REG,11,2025-11-16,Sunday,09:30,WAS,MIA,,,,,Hard Rock Stadium
2025_11_CAR_ATL,2025,REG,11,2025-11-16,Sunday,13:00,CAR,ATL,,,,,Mercedes-Benz Stadium
2025_11_TB_BUF,2025,REG,11,2025-11-16,Sunday,13:00,TB,BUF,,,,,New Era Field
2025_11_LAC_JAX,2025,REG,11,2025-11-16,Sunday,13:00,LAC,JAX,,,,,TIAA Bank Stadium
2025_11_CHI_MIN,2025,REG,11,2025-11-16,Sunday,13:00,CHI,MIN,,,,,U.S. Bank Stadium
2025_11_GB_NYG,2025,REG,11,2025-11-16,Sunday,13:00,GB,NYG,,,,,MetLife Stadium
2025_11_CIN_PIT,2025,REG,11,2025-11-16,Sunday,13:00,CIN,PIT,,,,,Acrisure Stadium
2025_11_HOU_TEN,2025,REG,11,2025-11-16,Sunday,13:00,HOU,TEN,,,,,Nissan Stadium
2025_11_SF_ARI,2025,REG,11,2025-11-16,Sunday,16:05,SF,ARI,,,,,State Farm Stadium
2025_11_SEA_LA,2025,REG,11,2025-11-16,Sunday,16:05,SEA,LA,,,,,SoFi Stadium
2025_11_BAL_CLE,2025,REG,11,2025-11-16,Sunday,16:25,BAL,CLE,,,,,FirstEnergy Stadium
2025_11_KC_DEN,2025,REG,11,2025-11-16,Sunday,16:25,KC,DEN,,,,,Empower Field at Mile High
2025_11_DET_PHI,2025,REG,11,2025-11-16,Sunday,20:20,DET,PHI,,,,,Lincoln Financial Field
2025_11_DAL_LV,2025,REG,11,2025-11-17,Monday,20:15,DAL,LV,,,,,Allegiant Stadium
2025_12_BUF_HOU,2025,REG,12,2025-11-20,Thursday,20:15,BUF,HOU,,,,,NRG Stadium
2025_12_NYJ_BAL,2025,REG,12,2025-11-23,Sunday,13:00,NYJ,BAL,,,,,M&T Bank Stadium
2025_12_PIT_CHI,2025,REG,12,2025-11-23,Sunday,13:00,PIT,CHI,,,,,Soldier Field
2025_12_NE_CIN,2025,REG,12,2025-11-23,Sunday,13:00,NE,CIN,,,,,Paycor Stadium
2025_12_NYG_DET,2025,REG,12,2025-11-23,Sunday,13:00,NYG,DET,,,,,Ford Field
2025_12_MIN_GB,2025,REG,12,2025-11-23,Sunday,13:00,MIN,GB,,,,,Lambeau Field
2025_12_IND_KC,2025,REG,12,2025-11-23,Sunday,13:00,IND,KC,,,,,GEHA Field at Arrowhead Stadium
2025_12_SEA_TEN,2025,REG,12,2025-11-23,Sunday,13:00,SEA,TEN,,,,,Nissan Stadium
2025_12_JAX_ARI,2025,REG,12,2025-11-23,Sunday,16:05,JAX,ARI,,,,,State Farm Stadium
2025_12_CLE_LV,2025,REG,12,2025-11-23,Sunday,16:05,CLE,LV,,,,,Allegiant Stadium
2025_12_PHI_DAL,2025,REG,12,2025-11-23,Sunday,16:25,PHI,DAL,,,,,AT&T Stadium
2025_12_ATL_NO,2025,REG,12,2025-11-23,Sunday,16:25,ATL,NO,,,,,Mercedes-Benz Superdome
2025_12_TB_LA,2025,REG,12,2025-11-23,Sunday,20:20,TB,LA,,,,,SoFi Stadium
2025_12_CAR_SF,2025,REG,12,2025-11-24,Monday,20:15,CAR,SF,,,,,Levi's Stadium
2025_13_GB_DET,2025,REG,13,2025-11-27,Thursday,13:00,GB,DET,,,,,Ford Field
2025_13_KC_DAL,2025,REG,13,2025-11-27,Thursday,16:30,KC,DAL,,,,,AT&T Stadium
2025_13_CIN_BAL,2025,REG,13,2025-11-27,Thursday,20:20,CIN,BAL,,,,,M&T Bank Stadium
2025_13_CHI_PHI,2025,REG,13,2025-11-28,Friday,15:00,CHI,PHI,,,,,Lincoln Financial Field
2025_13_LA_CAR,2025,REG,13,2025-11-30,Sunday,13:00,LA,CAR,,,,,Bank of America Stadium
2025_13_SF_CLE,2025,REG,13,2025-11-30,Sunday,13:00,SF,CLE,,,,,FirstEnergy Stadium
2025_13_HOU_IND,2025,REG,13,2025-11-30,Sunday,13:00,HOU,IND,,,,,Lucas Oil Stadium
2025_13_NO_MIA,2025,REG,13,2025-11-30,Sunday,13:00,NO,MIA,,,,,Hard Rock Stadium
2025_13_ATL_NYJ,2025,REG,13,2025-11-30,Sunday,13:00,ATL,NYJ,,,,,MetLife Stadium
2025_13_ARI_TB,2025,REG,13,2025-11-30,Sunday,13:00,ARI,TB,,,,,Raymond James Stadium
2025_13_JAX_TEN,2025,REG,13,2025-11-30,Sunday,13:00,JAX,TEN,,,,,Nissan Stadium
2025_13_MIN_SEA,2025,REG,13,2025-11-30,Sunday,16:05,MIN,SEA,,,,,Lumen Field
2025_13_LV_LAC,2025,REG,13,2025-11-30,Sunday,16:25,LV,LAC,,,,,SoFi Stadium
2025_13_BUF_PIT,2025,REG,13,2025-11-30,Sunday,16:25,BUF,PIT,,,,,Acrisure Stadium
2025_13_DEN_WAS,2025,REG,13,2025-11-30,Sunday,20:20,DEN,WAS,,,,,FedExField
2025_13_NYG_NE,2025,REG,13,2025-12-01,Monday,20:15,NYG,NE,,,,,Gillette Stadium
2025_14_DAL_DET,2025,REG,14,2025-12-04,Thursday,20:15,DAL,DET,,,,,Ford Field
